type,galaxyID,timeStep,age(GYr),redshift(z),camera,filter,px(pixels),errpx(pixels),py(pixels),errpy(pixels),mag,errmag,rad(pixels),errrad(pixels),rad(kpc),errrad(kpc),sersicIndex(n),errsersicIndex(n),b/a,errb/a,angle(deg),errangle(deg),sky
enum,enum,numeric,numeric,numeric,numeric,enum,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
other,VELA28MRP,224919,1.857,3.44444444444,0,F160W,225.1746,0.0229,263.4970,0.0248,23.7014,0.0053,7.4191,0.0357,397.30912702,1.91181354,1.4518,0.0122,0.8146,0.0043,-0.2525,1.1213,0.000e+00
central,VELA28MRP,224919,1.857,3.44444444444,1,F160W,309.6488,0.0407,309.4938,0.0309,22.7275,0.0039,18.3641,0.0627,983.43795602,3.35772294,1.0840,0.0055,0.5052,0.0019,-51.5385,0.1785,0.000e+00
other,VELA28MRP,224919,1.857,3.44444444444,1,F160W,362.9891,0.0274,553.6111,0.0191,23.4057,0.0053,10.0557,0.0576,538.50485754,3.08460672,1.7922,0.0120,0.7138,0.0037,63.8954,0.5454,0.000e+00
other,VELA28MRP,224919,1.857,3.44444444444,5,F160W,363.2807,0.0304,294.0990,0.0182,24.3179,0.0082,6.0201,0.0561,322.38959922,3.00427842,1.2517,0.0174,0.5505,0.0035,-87.3261,0.5368,0.000e+00
central,VELA28MRP,224919,1.857,3.44444444444,5,F160W,339.5993,0.0603,292.5127,0.0239,23.0399,0.0039,26.0886,0.0822,1397.10192492,4.40199084,1.1255,0.0035,0.3051,0.0012,72.4321,0.0665,0.000e+00
central,VELA28MRP,224919,1.857,3.44444444444,6,F160W,350.2988,0.1163,308.7168,0.0361,23.1548,0.0048,31.8172,0.1386,1703.88105784,7.42233492,1.0337,0.0052,0.1820,0.0009,-72.7994,0.0590,0.000e+00
central,VELA28MRP,224919,1.857,3.44444444444,7,F160W,327.9739,0.0181,265.8730,0.0380,22.8896,0.0038,19.0269,0.0710,1018.93235418,3.8022062,1.5044,0.0062,0.3638,0.0013,25.8303,0.1062,0.000e+00
other,VELA28MRP,224919,1.857,3.44444444444,8,F160W,235.6889,0.3169,187.8990,0.5366,29.5822,0.7080,709.3160,1761.5568,37985.4322952,94335.242065,19.9973,10.3035,0.8779,0.1176,33.6750,30.8484,0.000e+00
central,VELA28MRP,224919,1.857,3.44444444444,8,F160W,331.3339,0.0287,271.7243,0.0420,23.3304,0.0051,13.1757,0.0814,705.58772154,4.35914908,1.2862,0.0106,0.6090,0.0031,38.6576,0.3846,0.000e+00
other,VELA28MRP,227217,1.881,3.40528634361,0,F160W,523.2669,0.1876,238.7770,0.1856,29.0004,0.3988,317.5902,363.9355,17181.4075069,19688.6557951,19.9997,10.5431,0.5682,0.0356,-71.2165,3.0983,0.000e+00
central,VELA28MRP,227217,1.881,3.40528634361,0,F160W,272.3770,0.0196,298.6441,0.0484,25.5660,0.0134,10.9720,0.1387,593.5775196,7.50357291,3.1520,0.0320,0.3148,0.0043,14.6558,0.1697,0.000e+00
other,VELA28MRP,227217,1.881,3.40528634361,0,F160W,226.4492,0.0241,272.5410,0.0285,23.5540,0.0052,8.7000,0.0398,470.66391,2.15315214,1.1536,0.0099,0.7399,0.0033,-4.5814,0.6835,0.000e+00
other,VELA28MRP,227217,1.881,3.40528634361,1,F160W,343.1541,0.0383,500.5821,0.0248,23.6411,0.0054,12.1175,0.0683,655.54826775,3.69498219,1.6517,0.0085,0.6655,0.0035,-81.4000,0.4415,0.000e+00
central,VELA28MRP,227217,1.881,3.40528634361,1,F160W,289.1774,0.0265,314.5218,0.0452,22.8235,0.0038,22.1023,0.0608,1195.71895839,3.28923744,0.9029,0.0054,0.4237,0.0014,18.3296,0.1243,0.000e+00
central,VELA28MRP,227217,1.881,3.40528634361,5,F160W,327.5609,0.0750,284.7750,0.0607,22.8508,0.0035,37.2587,0.0784,2015.66958891,4.24138512,0.7365,0.0039,0.2492,0.0007,51.0369,0.0570,0.000e+00
other,VELA28MRP,227217,1.881,3.40528634361,6,F160W,381.6256,0.0432,336.9095,0.0580,23.8314,0.0062,14.9093,0.0535,806.58269349,2.89431255,0.3893,0.0053,0.4303,0.0022,-35.9247,0.2169,0.000e+00
central,VELA28MRP,227217,1.881,3.40528634361,6,F160W,322.7878,0.1378,307.4043,0.0347,23.1869,0.0046,37.1129,0.1646,2007.78191097,8.90474478,1.0254,0.0054,0.2315,0.0010,-75.7288,0.0746,0.000e+00
other,VELA28MRP,227217,1.881,3.40528634361,7,F160W,216.5747,81.9721,263.8790,88.0374,28.8384,1.3135,6853.9849,8446.9248,370795.785301,456972.718833,1.7835,0.5271,2.955e-03,3.362e-03,42.9460,0.0833,0.000e+00
central,VELA28MRP,227217,1.881,3.40528634361,7,F160W,286.0714,0.0230,252.3453,0.0338,23.0964,0.0041,15.0211,0.0679,812.63099523,3.67334247,1.3338,0.0082,0.5876,0.0021,-24.6761,0.2411,0.000e+00
central,VELA28MRP,227217,1.881,3.40528634361,8,F160W,302.7144,0.0278,273.2621,0.0946,22.8983,0.0036,35.2434,0.0769,1906.64326962,4.16023617,0.7439,0.0042,0.2717,0.0008,-8.4704,0.0636,0.000e+00
central,VELA28MRP,229686,1.919,3.34782608696,0,F160W,303.2014,0.0423,287.2820,0.1532,23.1503,0.0046,43.3668,0.1847,2371.61320164,10.10074431,0.9940,0.0056,0.2733,0.0011,6.2334,0.0895,0.000e+00
other,VELA28MRP,229686,1.919,3.34782608696,0,F160W,101.7116,0.0352,583.6910,0.0645,23.8668,0.0067,14.7121,0.0986,804.56502633,5.39216778,1.2381,0.0121,0.5425,0.0037,-7.8013,0.3940,0.000e+00
other,VELA28MRP,229686,1.919,3.34782608696,1,F160W,355.1480,0.0343,382.3860,0.0189,24.1234,0.0069,13.5969,0.0745,743.57774937,4.07420385,2.4973,0.0121,0.6497,0.0032,-81.2961,0.4613,0.000e+00
central,VELA28MRP,229686,1.919,3.34782608696,1,F160W,292.7060,0.0893,301.1345,0.0403,23.1292,0.0045,32.9833,0.1433,1803.76762209,7.83669009,0.9642,0.0047,0.3413,0.0013,78.2722,0.0846,0.000e+00
other,VELA28MRP,229686,1.919,3.34782608696,5,F160W,652.8931,12.3778,493.0327,5.7560,21.2488,1.0341,28.1748,1.3859,1540.80374004,75.79112907,0.7904,0.0380,0.6398,0.0225,-40.0816,5.1117,0.000e+00
central,VELA28MRP,229686,1.919,3.34782608696,5,F160W,288.3428,0.0786,288.3944,0.0792,23.0025,0.0039,42.6074,0.1244,2330.08366602,6.80310012,0.7548,0.0035,0.2846,0.0009,-43.8111,0.0692,0.000e+00
central,VELA28MRP,229686,1.919,3.34782608696,6,F160W,311.9347,0.1361,302.1395,0.0391,23.2035,0.0046,39.0209,0.1682,2133.94766457,9.19840386,0.9542,0.0051,0.2827,0.0011,-75.3661,0.0936,0.000e+00
central,VELA28MRP,229686,1.919,3.34782608696,7,F160W,291.7988,0.0539,295.2513,0.0441,23.6762,0.0052,11.9734,0.0705,654.79291782,3.85545465,0.9014,0.0084,0.9622,0.0050,88.6584,5.2576,0.000e+00
other,VELA28MRP,229686,1.919,3.34782608696,7,F160W,237.0630,0.1604,384.5200,0.1278,28.3980,0.5834,1063.9320,1906.2806,58183.5684636,104249.339056,19.9972,11.6923,0.8568,0.0402,10.8403,9.7249,0.000e+00
other,VELA28MRP,229686,1.919,3.34782608696,8,F160W,301.9539,0.3345,373.7936,0.4339,29.7458,0.5209,818.2937,1520.3678,44750.27306,83144.8099889,15.4576,7.5340,0.1541,0.0163,30.7579,1.1574,0.000e+00
central,VELA28MRP,229686,1.919,3.34782608696,8,F160W,284.2949,0.0835,294.2798,0.0323,22.9797,0.0036,41.2015,0.0985,2253.19879095,5.38669905,0.7415,0.0027,0.2871,0.0009,-69.9999,0.0680,0.000e+00
central,VELA28MRP,232158,1.943,3.31034482759,0,F160W,298.8556,0.0460,300.7847,0.0954,22.9776,0.0047,32.1097,0.1486,1774.88293332,8.21395416,1.1793,0.0061,0.3633,0.0015,-25.6704,0.1261,0.000e+00
other,VELA28MRP,232158,1.943,3.31034482759,0,F160W,285.4575,0.0521,439.2735,0.0429,23.6848,0.0065,12.6942,0.0812,701.67952152,4.48837872,1.4331,0.0149,0.8037,0.0054,89.1061,1.0369,0.000e+00
other,VELA28MRP,232158,1.943,3.31034482759,1,F160W,380.7819,0.0353,557.0747,0.0602,23.8648,0.0067,16.0602,0.1081,887.73719112,5.97529236,1.3814,0.0147,0.5443,0.0036,-29.5200,0.3724,0.000e+00
central,VELA28MRP,232158,1.943,3.31034482759,1,F160W,297.7963,0.0969,301.1463,0.0983,23.0212,0.0043,39.2190,0.1666,2167.8537564,9.20891496,1.0285,0.0045,0.2625,0.0009,-45.1570,0.0815,0.000e+00
central,VELA28MRP,232158,1.943,3.31034482759,5,F160W,302.3174,0.0341,300.0742,0.1004,22.9319,0.0037,37.9336,0.1340,2096.80250016,7.4069304,1.0710,0.0052,0.3132,0.0010,1.5357,0.0813,0.000e+00
other,VELA28MRP,232158,1.943,3.31034482759,5,F160W,372.2121,0.0277,573.5060,0.0505,23.9016,0.0059,15.3185,0.0956,846.7392786,5.28434736,1.4581,0.0125,0.5426,0.0032,23.0839,0.3364,0.000e+00
other,VELA28MRP,232158,1.943,3.31034482759,6,F160W,213.4936,0.0355,578.4839,0.0450,23.8999,0.0066,13.8050,0.0970,763.079658,5.3617332,1.3829,0.0154,0.5973,0.0040,38.2977,0.4622,0.000e+00
central,VELA28MRP,232158,1.943,3.31034482759,6,F160W,302.4375,0.0863,301.9730,0.0933,23.0035,0.0043,40.0723,0.1618,2215.02042588,8.94359208,1.1324,0.0064,0.2714,0.0011,43.1691,0.0823,0.000e+00
central,VELA28MRP,232158,1.943,3.31034482759,7,F160W,299.7593,0.0411,299.7917,0.0923,22.9074,0.0039,36.4712,0.1305,2015.96746272,7.2134658,0.9861,0.0047,0.3056,0.0010,-24.3307,0.0808,0.000e+00
other,VELA28MRP,232158,1.943,3.31034482759,7,F160W,412.7980,0.0309,556.8524,0.0527,23.8560,0.0060,14.5413,0.0894,803.77908228,4.94163864,1.4672,0.0121,0.5800,0.0035,14.2740,0.3622,0.000e+00
central,VELA28MRP,232158,1.943,3.31034482759,8,F160W,300.0298,0.0349,299.4753,0.0942,22.9069,0.0038,36.8598,0.1281,2037.44756088,7.08080436,0.9709,0.0049,0.3024,0.0009,-20.5405,0.0783,0.000e+00
other,VELA28MRP,232158,1.943,3.31034482759,8,F160W,407.6735,0.0296,559.1933,0.0519,23.8595,0.0059,14.7318,0.0905,814.30908408,5.0024418,1.4834,0.0127,0.5725,0.0034,15.7730,0.3515,0.000e+00
central,VELA28MRP,235169,1.981,3.25531914894,0,F160W,304.3041,0.1463,299.4586,0.0441,23.1095,0.0047,42.8372,0.2088,2398.561921,11.691234,1.1495,0.0057,0.2894,0.0012,84.9683,0.0944,0.000e+00
other,VELA28MRP,235169,1.981,3.25531914894,0,F160W,494.8679,0.0774,252.9696,0.0398,23.8610,0.0059,18.3791,0.1190,1029.09175675,6.6631075,1.4159,0.0133,0.5311,0.0036,-72.9430,0.3520,0.000e+00
other,VELA28MRP,235169,1.981,3.25531914894,1,F160W,332.1992,1.1290,260.8868,1.6340,25.1301,0.0406,50.4608,1.0460,2825.426344,58.568155,0.4994,0.0129,0.2881,0.0055,32.6744,0.4105,0.000e+00
central,VELA28MRP,235169,1.981,3.25531914894,1,F160W,296.9740,0.0555,302.2344,0.0434,23.1280,0.0062,21.7585,0.1103,1218.31281125,6.17597275,1.2060,0.0077,0.4719,0.0019,53.0494,0.1945,0.000e+00
other,VELA28MRP,235169,1.981,3.25531914894,1,F160W,241.7842,0.0675,364.0082,0.0388,23.6927,0.0057,17.1601,0.0963,960.83689925,5.39207775,1.3133,0.0090,0.5703,0.0034,88.4004,0.3373,0.000e+00
central,VELA28MRP,235169,1.981,3.25531914894,5,F160W,298.7710,0.0421,297.5676,0.1281,23.0846,0.0046,40.3761,0.1931,2260.75877925,10.81215175,1.1408,0.0058,0.3115,0.0012,-17.0112,0.0992,0.000e+00
other,VELA28MRP,235169,1.981,3.25531914894,5,F160W,219.4759,0.0417,136.9897,0.0809,23.8658,0.0061,17.3992,0.1084,974.224706,6.069587,1.2756,0.0105,0.5464,0.0037,8.2969,0.3641,0.000e+00
other,VELA28MRP,235169,1.981,3.25531914894,6,F160W,499.2050,0.0732,375.5887,0.0349,23.7220,0.0063,17.7433,0.1057,993.49172525,5.91840725,1.2634,0.0125,0.5429,0.0035,-66.8970,0.3360,0.000e+00
central,VELA28MRP,235169,1.981,3.25531914894,6,F160W,304.2604,0.1218,301.0335,0.0706,23.1637,0.0049,40.9746,0.2069,2294.2702905,11.58484825,1.2401,0.0072,0.2871,0.0012,-60.0299,0.0946,0.000e+00
central,VELA28MRP,235169,1.981,3.25531914894,7,F160W,298.2548,0.1117,299.1728,0.0415,23.0397,0.0044,37.0008,0.1647,2071.767294,9.22196475,1.0697,0.0057,0.3122,0.0011,-70.2773,0.0756,0.000e+00
other,VELA28MRP,235169,1.981,3.25531914894,7,F160W,130.2317,0.0362,249.9999,0.0601,23.8281,0.0061,16.1914,0.0777,906.5969645,4.35061725,1.3601,0.0102,0.5962,0.0038,-32.8580,0.4181,0.000e+00
central,VELA28MRP,235169,1.981,3.25531914894,8,F160W,298.3157,0.1057,299.2513,0.0510,23.0349,0.0043,37.4825,0.1632,2098.73888125,9.137976,1.0916,0.0055,0.3090,0.0011,-64.7220,0.0912,0.000e+00
other,VELA28MRP,235169,1.981,3.25531914894,8,F160W,134.4535,0.0345,237.5742,0.0615,23.8295,0.0058,16.5598,0.0970,927.2246015,5.4312725,1.3634,0.0106,0.5831,0.0036,-29.4406,0.3891,0.000e+00
central,VELA28MRP,237859,2.019,3.20168067227,0,F160W,311.1423,0.1916,289.1251,0.1223,22.9672,0.0045,74.9471,0.2396,4244.48660901,13.56929076,0.7042,0.0037,0.1906,0.0007,57.8516,0.0541,0.000e+00
other,VELA28MRP,237859,2.019,3.20168067227,1,F160W,246.4724,0.0422,355.7837,0.0359,23.3028,0.0048,13.6680,0.0436,774.0612108,2.46920316,0.6797,0.0060,0.7609,0.0030,-60.5202,0.5452,0.000e+00
central,VELA28MRP,237859,2.019,3.20168067227,1,F160W,303.5784,0.0776,298.6890,0.0485,23.0680,0.0043,23.7860,0.0971,1347.0749166,5.49907401,1.0296,0.0054,0.6138,0.0021,80.1474,0.3128,0.000e+00
central,VELA28MRP,237859,2.019,3.20168067227,5,F160W,302.8102,0.0626,279.4236,0.2123,22.8525,0.0042,63.1740,0.1891,3577.7394594,10.70931921,0.5235,0.0033,0.2482,0.0008,16.4069,0.0684,0.000e+00
central,VELA28MRP,237859,2.019,3.20168067227,6,F160W,301.9258,0.1743,297.2090,0.0520,23.1858,0.0050,47.1634,0.2215,2671.00954854,12.54423165,1.0496,0.0057,0.2923,0.0013,-82.2928,0.1037,0.000e+00
other,VELA28MRP,237859,2.019,3.20168067227,6,F160W,429.7500,0.0931,360.1127,0.0482,23.5798,0.0059,19.2439,0.0857,1089.84171309,4.85345667,0.6253,0.0073,0.5311,0.0025,73.5438,0.2699,0.000e+00
central,VELA28MRP,237859,2.019,3.20168067227,7,F160W,282.3982,0.1296,286.9274,0.1433,22.8195,0.0040,59.8513,0.1613,3389.56465803,9.13491903,0.4927,0.0035,0.2647,0.0008,-42.1934,0.0667,0.000e+00
central,VELA28MRP,237859,2.019,3.20168067227,8,F160W,284.4272,0.1049,284.7728,0.1533,22.7955,0.0039,59.1533,0.1546,3350.03475423,8.75547726,0.5068,0.0035,0.2532,0.0007,-34.4912,0.0617,0.000e+00
central,VELA28MRP,240246,2.044,3.16666666667,0,F160W,305.0499,0.1883,297.4157,0.1499,22.9141,0.0052,58.0279,0.2481,3319.28292185,14.19169215,0.7886,0.0050,0.2209,0.0010,49.7794,0.0619,0.000e+00
other,VELA28MRP,240246,2.044,3.16666666667,0,F160W,365.3314,0.0606,285.3879,0.0446,23.3692,0.0066,14.0500,0.0634,803.681075,3.6265751,0.8736,0.0113,0.6668,0.0040,60.5799,0.5527,0.000e+00
other,VELA28MRP,240246,2.044,3.16666666667,1,F160W,241.6493,0.0206,386.1301,0.0195,23.0228,0.0035,8.8378,0.0460,505.5354167,2.631269,1.6888,0.0086,0.9063,0.0044,-71.4188,1.7355,0.000e+00
central,VELA28MRP,240246,2.044,3.16666666667,1,F160W,299.4468,0.1118,302.8496,0.0587,23.0138,0.0038,29.3230,0.1429,1677.3195845,8.17409435,1.0210,0.0063,0.5099,0.0024,-79.6120,0.2398,0.000e+00
central,VELA28MRP,240246,2.044,3.16666666667,5,F160W,301.9901,0.0604,301.8405,0.1664,22.9063,0.0050,43.0096,0.2033,2460.2136344,11.62906495,0.9102,0.0059,0.3567,0.0017,10.9924,0.1291,0.000e+00
other,VELA28MRP,240246,2.044,3.16666666667,5,F160W,341.6945,0.0425,320.9376,0.0589,23.3545,0.0063,14.3544,0.0704,821.0932116,4.0269856,0.8736,0.0106,0.6729,0.0039,25.9889,0.5408,0.000e+00
central,VELA28MRP,240246,2.044,3.16666666667,6,F160W,302.4714,0.2232,302.8778,0.0671,23.1248,0.0061,47.1532,0.2735,2697.2337698,15.64461025,1.0122,0.0073,0.3027,0.0017,87.1062,0.1347,0.000e+00
other,VELA28MRP,240246,2.044,3.16666666667,6,F160W,356.8806,0.0655,395.3411,0.0395,23.1908,0.0063,15.3303,0.0893,876.91615545,5.10809395,1.2150,0.0121,0.5898,0.0035,73.7490,0.3883,0.000e+00
central,VELA28MRP,240246,2.044,3.16666666667,7,F160W,301.3615,0.0591,312.7284,0.1229,22.4406,0.0036,35.4062,0.1085,2025.2877493,6.20636275,0.8025,0.0043,0.3694,0.0011,-28.1576,0.0852,0.000e+00
other,VELA28MRP,240246,2.044,3.16666666667,7,F160W,312.3641,0.0241,340.2734,0.0277,23.8466,0.0118,8.6273,0.0983,493.49450095,5.62290745,1.6985,0.0226,0.9207,0.0078,-66.4643,5.5639,0.000e+00
other,VELA28MRP,240246,2.044,3.16666666667,8,F160W,314.2304,0.0246,334.4675,0.0634,23.8155,0.0088,14.3943,0.0662,823.37555145,3.7867393,0.1797,0.0044,0.3925,0.0020,17.5077,0.2276,0.000e+00
central,VELA28MRP,240246,2.044,3.16666666667,8,F160W,301.9808,0.0417,310.0450,0.0909,22.3812,0.0035,35.6982,0.0838,2041.9905873,4.7934857,0.8850,0.0043,0.3465,0.0010,-24.3350,0.0783,0.000e+00
other,VELA28MRP,242747,2.082,3.11522633745,0,F160W,409.5938,0.0349,320.2709,0.0512,22.9466,0.0059,14.4754,0.0787,836.6346938,4.5486239,1.1455,0.0098,0.6049,0.0032,-35.2752,0.3867,0.000e+00
central,VELA28MRP,242747,2.082,3.11522633745,0,F160W,298.9886,0.0702,297.9776,0.2051,23.1687,0.0065,42.0863,0.2594,2432.4618811,14.9925418,1.0495,0.0084,0.3413,0.0021,-8.3392,0.1587,0.000e+00
central,VELA28MRP,242747,2.082,3.11522633745,1,F160W,299.3135,0.1410,301.9665,0.0603,23.0835,0.0056,34.4319,0.1647,1990.0605243,9.5191659,0.9339,0.0065,0.3928,0.0020,-82.2104,0.1608,0.000e+00
other,VELA28MRP,242747,2.082,3.11522633745,1,F160W,256.5747,0.0277,358.8009,0.0317,22.8387,0.0049,10.1867,0.0490,588.7606999,2.832053,1.2672,0.0095,0.8895,0.0042,-22.5232,1.4761,0.000e+00
central,VELA28MRP,242747,2.082,3.11522633745,5,F160W,298.5230,0.0725,300.5431,0.0908,23.0643,0.0055,37.5634,0.1956,2171.0518298,11.3050932,1.0014,0.0063,0.3710,0.0019,-39.4351,0.1227,0.000e+00
other,VELA28MRP,242747,2.082,3.11522633745,5,F160W,409.6268,0.0424,334.8187,0.0316,22.8617,0.0050,12.9448,0.0623,748.1706056,3.6007531,1.2434,0.0093,0.7219,0.0032,-70.1488,0.5326,0.000e+00
central,VELA28MRP,242747,2.082,3.11522633745,6,F160W,303.2670,0.2073,300.0090,0.0724,23.1986,0.0066,41.0823,0.2564,2374.4336931,14.8191508,1.0200,0.0076,0.3505,0.0022,88.9073,0.1628,0.000e+00
other,VELA28MRP,242747,2.082,3.11522633745,6,F160W,258.3307,0.0551,417.8657,0.0351,22.9478,0.0059,14.1525,0.0758,817.9720425,4.3810126,1.1346,0.0091,0.6263,0.0033,64.3620,0.4232,0.000e+00
other,VELA28MRP,242747,2.082,3.11522633745,7,F160W,405.5367,0.0405,346.8331,0.0294,22.8218,0.0038,13.7577,0.0611,795.1537869,3.5313967,1.3250,0.0080,0.7095,0.0028,-89.9018,0.4403,0.000e+00
other,VELA28MRP,242747,2.082,3.11522633745,7,F160W,323.0215,0.0316,326.8870,0.0292,23.5100,0.0062,8.0245,0.0512,463.7920265,2.9592064,0.7710,0.0109,0.8296,0.0046,-60.8592,1.3028,0.000e+00
central,VELA28MRP,242747,2.082,3.11522633745,7,F160W,298.2105,0.1317,301.4361,0.0844,23.0497,0.0047,36.9125,0.1721,2133.4317625,9.9468637,0.9654,0.0058,0.3383,0.0015,-63.9518,0.1154,0.000e+00
other,VELA28MRP,242747,2.082,3.11522633745,8,F160W,406.2803,0.0423,344.3287,0.0309,22.8319,0.0033,13.2863,0.0617,767.9082811,3.5660749,1.2480,0.0091,0.7181,0.0029,-81.7083,0.4945,0.000e+00
central,VELA28MRP,242747,2.082,3.11522633745,8,F160W,310.9323,0.1177,314.2214,0.0924,22.7736,0.0034,44.1400,0.1343,2551.15958,7.7621371,0.5611,0.0036,0.2945,0.0010,-51.4779,0.0895,0.000e+00
other,VELA28MRP,245474,2.107,3.08163265306,0,F160W,473.0691,0.0218,291.5361,0.0139,22.6431,0.0051,8.2991,0.0440,485.05168833,2.5716372,1.9017,0.0100,0.7163,0.0038,-69.0075,0.5729,0.000e+00
central,VELA28MRP,245474,2.107,3.08163265306,0,F160W,301.3120,0.1474,300.7828,0.0928,23.1987,0.0069,35.4712,0.2201,2073.16039656,12.86403063,1.0156,0.0082,0.3874,0.0024,-57.9131,0.1907,0.000e+00
other,VELA28MRP,245474,2.107,3.08163265306,1,F160W,373.2860,0.1988,172.0200,0.4132,25.1124,0.0180,26.9916,0.3608,1577.55915108,21.08742504,0.4665,0.0119,0.5047,0.0071,-2.1931,0.7711,0.000e+00
central,VELA28MRP,245474,2.107,3.08163265306,1,F160W,314.8785,0.0149,269.2170,0.0180,22.5208,0.0049,10.9098,0.0620,637.63744374,3.6236706,2.4124,0.0094,0.7592,0.0036,28.5050,0.6243,0.000e+00
other,VELA28MRP,245474,2.107,3.08163265306,1,F160W,390.9076,0.0431,350.3566,0.0490,23.3549,0.0078,13.5723,0.1172,793.25071749,6.84990636,1.4596,0.0158,0.6058,0.0040,-44.2320,0.5420,0.000e+00
central,VELA28MRP,245474,2.107,3.08163265306,5,F160W,301.9558,0.1657,302.3350,0.0696,23.0844,0.0068,32.3410,0.2070,1890.2117883,12.0983841,1.0174,0.0073,0.4315,0.0027,-74.1337,0.2375,0.000e+00
other,VELA28MRP,245474,2.107,3.08163265306,5,F160W,473.0490,0.0224,270.1189,0.0182,22.6900,0.0055,9.1197,0.0593,533.01272211,3.46586559,2.0969,0.0124,0.7679,0.0041,66.8725,0.7240,0.000e+00
other,VELA28MRP,245474,2.107,3.08163265306,6,F160W,447.2081,0.0205,204.4981,0.0140,22.5400,0.0050,9.0316,0.0480,527.86360308,2.8054224,1.9089,0.0106,0.7094,0.0035,58.4996,0.5109,0.000e+00
central,VELA28MRP,245474,2.107,3.08163265306,6,F160W,300.8567,0.1871,300.6904,0.0725,23.2162,0.0070,35.0327,0.1951,2047.53169401,11.40287313,1.0082,0.0096,0.3911,0.0026,-83.6136,0.1944,0.000e+00
other,VELA28MRP,245474,2.107,3.08163265306,7,F160W,471.3468,0.0174,262.4335,0.0127,22.6992,0.0051,9.0475,0.0531,528.79289925,3.10349853,2.1790,0.0097,0.7139,0.0037,57.0052,0.5542,0.000e+00
central,VELA28MRP,245474,2.107,3.08163265306,7,F160W,304.7296,0.0745,309.3669,0.0662,22.6530,0.0051,18.8876,0.0642,1103.91033588,3.75225246,0.7552,0.0058,0.9352,0.0028,41.5848,2.6718,0.000e+00
central,VELA28MRP,245474,2.107,3.08163265306,8,F160W,307.1857,0.1023,310.8139,0.0743,22.6448,0.0053,27.0246,0.0949,1579.48787898,5.54655387,0.4408,0.0045,0.6665,0.0023,-89.0611,0.3426,0.000e+00
other,VELA28MRP,245474,2.107,3.08163265306,8,F160W,471.6396,0.0161,264.0743,0.0143,22.7214,0.0052,8.9380,0.0541,522.3930294,3.16194483,2.0411,0.0101,0.6985,0.0035,63.7590,0.5198,0.000e+00
central,VELA28MRP,248310,2.146,3.03225806452,0,F160W,302.9983,0.1116,301.2799,0.0622,23.1201,0.0057,35.4812,0.1746,2097.69821768,10.32259644,0.8394,0.0049,0.4100,0.0020,-68.4366,0.1158,0.000e+00
other,VELA28MRP,248310,2.146,3.03225806452,0,F160W,483.6261,0.0267,298.1182,0.0326,22.6589,0.0046,10.6711,0.0447,630.89037154,2.64272658,1.1615,0.0079,0.8190,0.0035,-26.1294,0.7691,0.000e+00
other,VELA28MRP,248310,2.146,3.03225806452,1,F160W,386.2178,0.1836,470.9070,0.2570,24.9206,0.0150,25.0868,0.2398,1483.16673752,14.17731172,0.5781,0.0133,0.5978,0.0060,6.2443,0.7747,0.000e+00
other,VELA28MRP,248310,2.146,3.03225806452,1,F160W,366.8442,0.0324,177.9303,0.0482,22.7413,0.0054,14.8750,0.0778,879.430825,4.59964492,1.2126,0.0082,0.6395,0.0031,30.5130,0.3899,0.000e+00
central,VELA28MRP,248310,2.146,3.03225806452,1,F160W,302.2165,0.1368,301.0934,0.0715,23.1008,0.0063,27.8986,0.1620,1649.40429004,9.5776668,0.9019,0.0059,0.5477,0.0032,73.7055,0.3227,0.000e+00
other,VELA28MRP,248310,2.146,3.03225806452,5,F160W,476.2466,0.0307,181.8819,0.0459,22.6060,0.0046,13.9066,0.0601,822.17766124,3.55319614,1.0864,0.0078,0.6314,0.0025,10.4521,0.3075,0.000e+00
central,VELA28MRP,248310,2.146,3.03225806452,5,F160W,302.2525,0.1255,301.7077,0.0595,23.0494,0.0056,30.3063,0.1561,1791.75088482,9.22885054,1.0171,0.0061,0.4883,0.0025,70.3495,0.2401,0.000e+00
other,VELA28MRP,248310,2.146,3.03225806452,6,F160W,430.8355,0.0292,122.4584,0.0367,22.7299,0.0051,12.9689,0.0630,766.73952446,3.7246482,1.1990,0.0094,0.7467,0.0033,36.5432,0.5772,0.000e+00
central,VELA28MRP,248310,2.146,3.03225806452,6,F160W,302.4553,0.1315,300.4278,0.0690,23.1754,0.0063,37.2186,0.2097,2200.41573804,12.39775758,0.8203,0.0049,0.4031,0.0023,64.4956,0.1459,0.000e+00
other,VELA28MRP,248310,2.146,3.03225806452,6,F160W,390.3249,0.1996,364.4470,0.1743,24.6515,0.0131,20.4933,0.2517,1211.59258662,14.88085638,0.7016,0.0162,0.8662,0.0107,-67.1585,2.6260,0.000e+00
central,VELA28MRP,248310,2.146,3.03225806452,7,F160W,297.7680,0.0710,304.9654,0.0631,22.7374,0.0044,33.9841,0.0858,2009.18756974,5.07261612,0.8629,0.0053,0.3893,0.0015,49.7917,0.0968,0.000e+00
other,VELA28MRP,248310,2.146,3.03225806452,7,F160W,454.6127,0.0259,156.7096,0.0395,22.6189,0.0042,13.6264,0.0563,805.61184496,3.32853482,1.2601,0.0060,0.6374,0.0024,5.6551,0.3046,0.000e+00
